,Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere,New Price class,Price Class Numeric,Reverse ranking on list,Full ranking
1878,Akiba Sushi & Wok,3.0,155.0,------16101.-201.,--$$-$$$,15,"55.68473,12.54063",2781.0,2.5,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Rolighedsvej 10, Frederiksberg, København 1958 Danmark",3.0,3.0,,$$-$$$,2,-155.0,106
1655,M.G. Petersens Familiehave,3.0,130.0,------16141.-295.,--$$-$$$,136,"55.67149,12.53114",3457.0,3.0,Dansk,"Pile Alle 16 Bus stop De Små Haver / Pile Allé 16, Frederiksberg, København 2000 Danmark",3.0,3.0,3.5,$$-$$$,2,-130.0,107
1663,Cafe Phenix,3.0,126.0,"------16,",--$$-$$$---------,101,"55.67569,12.532722",3262.0,3.5,Café,"Allegade 8, Frederiksberg, København 2000 Danmark",3.5,3.5,3.5,$$-$$$,2,-126.0,108
1949,Vietnam,3.5,1956.0,------16,--$$-$$$,20,"55.70379,12.59066",2679.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Nordre Frihavnsgade 101, København 2100 Danmark",4.0,3.5,4.0,$$-$$$,2,-1956.0,109
1941,King Chicken,3.5,1955.0,"------16,,",---------,4,"55.66841,12.55002",2499.0,,Fastfood,"Oehlenschlägergade 50, København Danmark",,,,$$$$$$,99,-1955.0,110
1930,Middelgrundsfortet,3.5,1954.0,"------16,",---,3,"55.6803,12.58457",43.0,,Dansk,"Oestergade 4, København 1100 Danmark",,,,$$$$$$,99,-1954.0,111
1942,Pizza Dronning Regina,3.5,1952.0,------1654.-101.,--$$-$$$,4,"55.6813,12.48459",6246.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Aalekistevej 42/44, København 2720 Danmark",,,,$$-$$$,2,-1952.0,112
1929,Halmtorvet 9,3.5,1951.0,"------16,",--$$$$$$,11,"55.670483,12.561758",1759.0,,Bar,"Halmtorvet 9A, København 1700 Danmark",,,,$$$$$$,99,-1951.0,113
1933,Foodish,3.5,1949.0,------16,---,2,"55.67753,12.5799",383.0,,Delikatesseforretning,"Hojbro Plads 17, København Danmark",,,,$$$$$$,99,-1949.0,114
1920,Sumo Sushi,3.5,1945.0,"------16,",------,5,"55.65444,12.6104",3281.0,,Japansk,"Amagerbrogade 160, København 2300 Danmark",,,,$$$$$$,99,-1945.0,115
1935,Brasseriet,3.5,1940.0,------16,---,3,"55.67296,12.5595",1734.0,,Fransk,"Vesterbrogade 23, København 1620 Danmark",,,,$$$$$$,99,-1940.0,116
1948,Beduin Bar,3.5,1939.0,,--$$$$$$,4,"55.68012,12.57499",577.0,,,"Skindergade 20, København 1159 Danmark",,,,$$$$$$,99,-1939.0,117
1946,El Porron,3.5,1930.0,"------16,,",--$$-$$$---------,129,"55.68406,12.5681",1106.0,3.5,Europæisk,"Vendersgade 10, København Danmark",3.0,3.5,3.5,$$-$$$,2,-1930.0,118
1896,Giin Khao,3.5,1922.0,------16,--$$$$$$,8,"55.66635,12.5983",1755.0,,,"Amagerbrogade 20, København 2300 Danmark",,,,$$$$$$,99,-1922.0,119
1904,Flisen Bar & Burgers,3.5,1920.0,"------16,",--$$$$$$,3,"55.66321,12.54228",3222.0,,,"Ingerslevsgade 200, København 1705 Danmark",,,,$$$$$$,99,-1920.0,120
1908,Cafe La Bella Ristorante,3.5,1919.0,------16,---,7,"55.6662,12.51752",4452.0,,Italiensk,"Toftegaards Alle 5 B, København 2500 Danmark",,,,$$$$$$,99,-1919.0,121
1910,Wedofood,3.5,1918.0,------16,---,4,"55.714096,12.577261",3819.0,,Sund,"Oesterbrogade 151, København 2100 Danmark",,,,$$$$$$,99,-1918.0,122
